osm_type,osm_id,lat,lon,name,amenity,shop,office,building,landuse,tourism,historic
node,621141365,54.6766319,25.2868285,Bix,pub,,,,,,
node,621141366,54.6764695,25.2895043,Apuokas,pub,,,,,,
node,622354122,54.6349699,25.2764143,,parking,,,,,,
node,640410417,54.6935553,25.2765736,Can Can Pizza,restaurant,,,,,,
node,648544758,54.6732788,25.0810909,Koops,,convenience,,,,,
node,648544759,54.6698184,25.0944249,Fokus pica,fast_food,,,,,,
node,648549290,54.6729399,25.2458061,Cesta,,butcher,,,,,
node,654567166,54.6799449,25.2837819,Iki Express Vokiečių,,supermarket,,,,,
node,659908767,54.639918,25.1849071,Džipų dalys,,car_repair,,,,,
node,659990695,54.6774066,25.0790151,Vega,,car_repair,,,,,
node,660285948,54.6696535,25.1027495,,,car_repair,,,,,
node,660327121,54.6713147,25.2427013,Panerys,,convenience,,,,,
node,660468693,54.6808199,25.2733441,Teatro kavinė,restaurant,,,,,,
node,660468694,54.6800829,25.2754147,Sapore Italia,,deli,,,,,
node,660878559,54.6901926,25.2640974,Geltonasis submarinas,restaurant,,,,,,
node,661430990,54.7431814,25.2784184,IKI Jeruzalė,,supermarket,,,,,
node,661431005,54.7437423,25.2770398,Medžiotojų restoranas,restaurant,,,,,,
node,663066484,54.6748965,25.2530074,Impuls,,,,,,,
node,663201958,54.6863006,25.2790687,Kanados ambasados skyrius,,,diplomatic,,,,
node,663301424,54.6836255,25.2134716,HASO kebabai,fast_food,,,,,,
node,663887264,54.6727441,25.2454481,Drogas,,beauty,,,,,
node,663887265,54.6726744,25.2452737,Vaga,,books,,,,,
node,664390292,54.6736552,25.2473416,,parking,,,,,,
node,666467509,54.6762022,25.2520304,Kinų broliai,restaurant,,,,,,
node,668081181,54.6973135,25.2990269,Čili pizza,restaurant,,,,,,
node,669016136,54.6975351,25.3000686,Spartuko kebabai,fast_food,,,,,,
node,669545269,54.6839405,25.2896597,Atrium,,,,,,hotel,
node,669545288,54.6851693,25.2852001,Stebuklai,restaurant,,,,,,
node,669545324,54.6869755,25.2846296,Flower boutique,,florist,,,,,
node,669545458,54.6827215,25.2868182,VU kiemo teatras,theatre,,,,,,
node,669874843,54.710402,25.287389,Public,restaurant,,,,,,
node,669876354,54.6944048,25.2768446,Didžioji Kinija,restaurant,,,,,,
node,669923987,54.6904287,25.2802393,Congress,,,,,,hotel,
node,672168304,54.7084405,25.3133872,Rimi „Antakalnis“,,supermarket,,,,,
node,672168417,54.7146483,25.3162306,Antakalnio kebabai,fast_food,,,,,,
node,673728787,54.6831373,25.212935,Maxima X,,supermarket,,,,,
node,674109175,54.6739724,25.2870763,Maxima X,,supermarket,,,,,
node,674114335,54.6780486,25.2877829,Rimi Express,,convenience,,,,,
node,674724829,54.7344715,25.2544392,Fabai,restaurant,,,,,,
node,676534066,54.740225,25.275111,Čili pizza,restaurant,,,,,,
node,679352863,54.6899363,25.2620697,Asia Tasty,restaurant,,,,,,
node,679367563,54.6915395,25.2637272,Centro kolonos,restaurant,,,,,,
node,679520007,54.7118716,25.2641654,Ermitažas,,doityourself,,,,,
node,679658796,54.6780719,25.2553227,Domino teatras,theatre,,,,,,
node,690837066,54.6764683,25.2716722,City Hotels Algirdas,,,,,,hotel,
node,692271691,54.7148352,25.2759419,KFC,fast_food,,,,,,
node,692271693,54.7147106,25.2757857,Thai Wok,fast_food,,,,,,
node,692271698,54.7146833,25.2757292,Radharanė,fast_food,,,,,,
node,692275886,54.7146679,25.2755391,Vaga,,books,,,,,
node,695828109,54.6704405,25.2827136,Ecolines bilietų kasa,,travel_agency,,,,,
node,696783532,54.6786696,25.2783707,IKI Express Pylimo,,convenience,,,,,
node,696783534,54.6789764,25.2781607,Somm,bar,,,,,,
node,696855008,54.6888666,25.2530213,Flamingo,restaurant,,,,,,
node,696855013,54.6889684,25.2530076,Flamingo,,,,,,hotel,
node,701921693,54.6934222,25.2511299,Maxima X,,supermarket,,,,,
node,701965925,54.7009061,25.2578039,Rimi Hypermarket,,supermarket,,,,,
node,703507046,54.6846752,25.2886371,Lietuvos Respublikos vidaus reikalų ministerija,,,government,,,,
node,714293575,54.7119622,25.3009921,Domino's Pizza „Žirmūnai“,restaurant,,,,,,
node,718393600,54.7125393,25.2718897,,parking,,,,,,
node,720589376,54.7026285,25.3035377,Pizza Express,fast_food,,,,,,
node,724263003,54.6677899,25.2842344,Maxima X,,supermarket,,,,,
node,724279485,54.6727315,25.2792414,IKI Express Šopeno,,supermarket,,,,,
node,724284725,54.6739861,25.2850515,J. Masiulio knygynas,,books,,,,,
node,724292685,54.6724256,25.2869138,Pastopoly,,deli,,,,,
node,724559856,54.6782878,25.2741713,Fitlife,,,,,,,
node,738536824,54.7079381,25.2956792,Alaus studija,pub,,,,,,
node,738778914,54.6707449,25.2606942,Ponas Tadas,,,,,,hotel,
node,738779274,54.6707261,25.2605764,Ponas Tadas,restaurant,,,,,,
node,741449545,54.7288952,25.3744465,Pizza Express,fast_food,,,,,,
node,742889080,54.6676954,25.2722956,Express Pizza,fast_food,,,,,,
node,757387301,54.7044798,25.2157942,Troleibusų parko valgykla,fast_food,,,,,,
node,758635879,54.7013166,25.3090447,Fedingas,,electronics,,,,,
node,758725750,54.7321802,25.2452358,Hyper RIMI „Mandarinas“,,supermarket,,,,,
node,769146229,54.6820921,25.26789,Verslo ir vadybos akademija,college,,,,,,
node,769149115,54.6821562,25.2698101,Norvergijos Karalystės ambasada Lietuvos Respublikoje,,,diplomatic,,,,
node,769149117,54.6823252,25.2699135,Suomijos Respublikos ambasada Lietuvos Respublikoje,,,diplomatic,,,,
node,772801413,54.6828406,25.2893704,Trattoria di Ravello,restaurant,,,,,,
node,773347244,54.6929815,25.281169,IKI Express Žaliasis tiltas,,supermarket,,,,,
node,773498023,54.6893632,25.2515897,Panama Food Garden,restaurant,,,,,,
node,774014190,54.6657492,25.2750989,Daugva autoservisas,,car_repair,,,,,
node,774014278,54.6645275,25.2837859,D.EFFECT,,clothes,,,,,
node,774014283,54.6647556,25.2798183,ZooŠalis,,pet,,,,,
node,774014347,54.6642389,25.2837975,D.EFFECT,,clothes,,,,,
node,774014382,54.6637284,25.2750184,Kirpykla,,hairdresser,,,,,
node,774492863,54.671582,25.2666091,Meatbusters,fast_food,,,,,,
node,775182253,54.6284631,25.1087031,Maisto prekės,,convenience,,,,,
node,775307999,54.6683166,25.2898483,Delikata,,supermarket,,,,,
node,775308019,54.664414,25.2867814,Visą parą,,convenience,,,,,
node,775862223,54.7110342,25.3031894,Homo Sapiens,,books,,,,,
node,775952915,54.6663932,25.2840647,RunMiS,,,,,,hotel,
node,778694973,54.6756532,25.2832941,Gogi Guy,restaurant,,,,,,
node,785933860,54.7240205,25.2324176,Norfa XL,,supermarket,,,,,
node,786212496,54.6967809,25.2787166,Registrų centras Vilniaus filialas,,,register,,,,
node,805294668,54.6725063,25.2723607,Kinų rožė,restaurant,,,,,,
node,808603282,54.6732101,25.0811323,Gėlių simfonija,,florist,,,,,
node,810642340,54.6431384,25.2797586,Narvesen,,kiosk,,,,,
node,826129384,54.6766785,25.2887222,Imperial hotel,,,,,,hotel,
node,828564081,54.6849465,25.2820894,Old Cuban Pub,bar,,,,,,
node,828564090,54.6847109,25.2823205,Misterija,pub,,,,,,
node,828564091,54.6845878,25.282385,Būsi trečias,pub,,,,,,
node,828818243,54.7071507,25.1877305,Plus Plus Plus Gastrobaras,pub,,,,,,
node,835234757,54.6798702,25.2858111,Puaro,restaurant,,,,,,
node,835234761,54.6797625,25.283096,Žemaičiai,restaurant,,,,,,
node,836234960,54.6770904,25.2738379,Lietuvos geležinkelių muziejus,,,,,,museum,
node,837674963,54.674024,25.2591864,,,car_repair,,,,,
node,837674979,54.6706683,25.2591908,Baldų namai „Skraja“,,furniture,,,,,
node,837675005,54.6743223,25.2539203,Kūno kultūros ir sporto departamentas prie LR vyriausybės,,,government,,,,
node,837675011,54.6701621,25.2582344,Dubingiai,,furniture,,,,,
node,840394428,54.6959474,25.3076056,Trys pušelės,restaurant,,,,,,
node,840401805,54.6949467,25.2775197,Baltic Arms,,weapons,,,,,
node,849992457,54.7822171,25.2735393,IKI Riešė,,supermarket,,,,,
node,862746628,54.6864686,25.2856154,Senatoriai,,,,,,hotel,
node,864433052,54.6706152,25.2822252,Čili bistro,restaurant,,,,,,
