lat_round,lon_round,jam_weight,event_count,total_duration,avg_duration,location_name,lat,lon,jam_score
54.65096,25.26974,725.0,9,725.0,80.55555555555556,Eišiškių pl. link Salininkų ,54.650956512287884,25.269744938264814,0.00573678067694012
54.65099,25.21866,661.5,14,945.0,67.5,Savanorių pr. link Savanorių pr.–Račių g. sankryžos (į centrą),54.650986732373646,25.218656602820733,0.005234317817649502
54.65113,25.27,105.0,4,150.0,37.5,Eišiškių pl link Salininkų g.,54.651133742087616,25.26999524290889,0.0008308440980396035
54.65121,25.27009,13524.5,80,5495.0,68.6875,Eišiškių pl. link Salininkų,54.651214265405656,25.270085737950925,0.10701667622796779
54.65142,25.21949,145.0,3,145.0,48.333333333333336,Savanorių pr. link Savanorių pr.–Račių g. sankryžos (į centrą),54.651415029205815,25.21948749099383,0.001147356135388024
54.65151,25.27051,6895.5,45,3165.0,70.33333333333333,Eišiškių pl. link Salininkų g.,54.6515122092729,25.270514892428828,0.054562718838400824
54.6517,25.3028,2112.5,17,875.0,51.470588235294116,Liepkalnio g. link Minsko pl.–Liepkalnio–Žirnių g. sankryžos (nuo Salininkų),54.65170072248232,25.302803622449115,0.016715791972463454
54.65171,25.30276,1648.5,41,2355.0,57.4390243902439,Liepkalnio g. link Minsko pl.–Liepkalnio–Žirnių g. sankryžos (nuo centro),54.65171355841138,25.302756627917137,0.013044252339221777
54.653,25.30278,1587.5,10,635.0,63.5,Liepkalnio g. link Liepkalnio g.–Žirnių g.–Minsko pl. sankryžos (link centro),54.65299837041325,25.302782725075257,0.012561571482265435
54.65305,25.22247,931.0,12,940.0,78.33333333333333,Savanorių pr. link Savanorių pr.–Račių g. sankryžos link (į centrą),54.65305470410668,25.22246746923616,0.007366817669284485
54.65312,25.22252,660.0,6,660.0,110.0,Savanorių pr. link Savanorių pr.–Račių g. sankryžos link (link centro),54.65311624761339,25.222516471941127,0.005222448616248937
54.65332,25.30636,275.0,3,110.0,36.666666666666664,Minsko pl. link Gurių g. (iš centro),54.65332425763617,25.306355119908893,0.0021760202567703904
54.65358,25.30606,237.5,2,95.0,47.5,Minsko pl. link Minsko pl.–Liepkalnio g.–Žirnių g. sankryžos,54.653577985635145,25.30606455594802,0.0018792902217562462
54.65373,25.22312,4887.5,18,1955.0,108.61111111111111,Savanorių pr. link Savanorių pr.–Sausupio g. sankryžos (iš centro),54.653727709984544,25.22311621600129,0.03867381456351012
54.6538,25.27104,81.0,4,90.0,22.5,Dariaus ir Girėno g. link Tūkstantmečio g. (į centrą),54.653803937197026,25.27103887364623,0.0006409368756305513
54.65399,25.22365,520.0,6,520.0,86.66666666666667,Savanorių pr. link Savanorių pr.–Sausupio g. sankryžos (iš centro),54.6539911546699,25.223653647988446,0.004114656485529465
54.6541,25.2711,68792.5,353,27517.0,77.95184135977337,Dariaus ir Girėno g. link Tūkstantmečio g.,54.65410309205088,25.271101898572574,0.5443413582322802
54.65457,25.27118,300.0,1,120.0,120.0,Dariaus ir Girėno g. link Tūkstantmečio g. (į centrą),54.654569429940636,25.27117972727621,0.002373840280113153
54.65472,25.30139,4079.5,75,4300.0,57.333333333333336,Žirnių g. link Tūkstantmečio g. (link centro),54.65471799225976,25.301391017793595,0.032280271409072026
54.65483,25.22486,225.0,4,225.0,56.25,Savanorių pr. link Savanorių pr.–Račių g. sankryžos link (link centro),54.654831757696385,25.22486378398054,0.001780380210084865
54.65486,25.29872,412.5,1,165.0,165.0,Žirnių g. link Minsko pl.–Žirnių–Liepkalnio g. sankryžos (iš centro),54.654863593497545,25.298719505064685,0.0032640303851555856
54.65488,25.29956,612.5,1,245.0,245.0,Kareivių g. link Kareivių–Kalvarijų–Ozo g. sankryžos,54.65488494493266,25.299563939201633,0.004846590571897688
54.65488,25.29969,10225.0,27,4090.0,151.4814814814815,Žirnių g. link Minsko pl. (iš centro),54.65487992324015,25.299690939666164,0.08090838954718997
54.65489,25.30053,7129.5,47,3360.0,71.48936170212765,Žirnių g. link Tūkstantmečio g. (link centro),54.65489177862804,25.3005327111013,0.05641431425688908
54.65491,25.2995,15344.0,83,6215.0,74.87951807228916,Žirnių g. link Tūkstantmečio g. (link centro),54.65491408674922,25.299497050862147,0.12141401752685407
54.65496,25.29827,19580.0,180,13670.0,75.94444444444444,Žirnių g. link Minsko pl.–Liepkalnio–Žirnių g. sankryžos,54.654960909127695,25.29827078438697,0.15493264228205178
54.65497,25.29996,9363.5,60,3968.0,66.13333333333334,Žirnių g. link Tūkstantmečio g. (link centro),54.65496913644497,25.299957702548184,0.07409151154279836
54.65503,25.29827,4394.0,21,2075.0,98.80952380952381,Žirnių g. link Minsko pl.–Liepkalnio–Žirnių g. sankryžos,54.65503252289588,25.298269047412237,0.03476884730272398
54.65508,25.22558,305.0,2,305.0,152.5,Savanorių pr. link Savanorių pr.–Račių g. sankryžos link (iš centro),54.65507571863703,25.225583047929767,0.0024134042847817057
54.65508,25.29745,10395.0,58,5490.0,94.65517241379311,Žirnių g. link Minsko pl.–Liepkalnio–Žirnių g. sankryžos (iš centro),54.6550794359304,25.297446047276114,0.08225356570592075
54.65511,25.29758,104522.5,325,42280.0,130.09230769230768,Žirnių g. link Minsko pl.–Žirnių–Liepkalnio g. sankryžos.,54.65511211084606,25.29758375332405,0.8270657355937568
54.65513,25.29702,71877.2,243,31826.0,130.97119341563786,Žirnių g. link Minsko pl.–Žirnių–Liepkalnio g. sankryžos (iš centro),54.6551335326254,25.297022260662242,0.568749975272497
54.65515,25.2989,562.5,1,225.0,225.0,Konstitucijos pr. link Konstitucijos pr. — T. Narbuto g. žiedo,54.655149106590656,25.29889536151566,0.004450950525212162
54.65517,25.29851,78425.0,195,31370.0,160.87179487179486,Žirnių g. link Minsko pl.–Liepkalnio–Žirnių g. sankryžos (iš centro),54.65516772518182,25.298505576133614,0.6205614132262468
54.65523,25.29659,4616.5,50,3685.0,73.7,Žirnių g. link Minsko pl.–Liepkalnio–Žirnių g. sankryžos (iš centro),54.65522727915163,25.29659291934133,0.03652944551047457
54.6553,25.29729,675.5,14,965.0,68.92857142857143,Žirnių g. link Giraitės žiedo,54.65529797688648,25.29728560575914,0.00534509703072145
54.65533,25.22617,325.0,3,325.0,108.33333333333333,Savanorių pr. link Savanorių pr.–N. Riovonių g. sankryžos,54.655328896030916,25.22617294818888,0.0025716603034559157
54.65541,25.296,80181.0,450,39420.0,87.6,Žirnių g. link Žirnių g.–Liepkalnio g.–Minsko pl. sankryžos iš centro,54.65540816035161,25.29599570369914,0.6344562916658424
54.65551,25.22693,302.0,6,365.0,60.833333333333336,Savanorių pr. link Savanorių - Riovonių g. sankryžos (į centrą),54.65550717180797,25.226929306946573,0.002389665881980574
54.65557,25.30022,125.0,1,50.0,50.0,Žirnių g. link Tūkstantmečio g. (link centro),54.65557204358198,25.30021925554698,0.0009891001167138139
54.65579,25.30305,21.0,1,30.0,30.0,Liepkalnio g. link Dunojaus g. sankryžos (link centro),54.65579279958462,25.30304558502181,0.00016616881960792072
54.65588,25.3029,12862.5,38,5145.0,135.39473684210526,Liepkalnio g. link Liepkalnio g.–Žirnių g.–Minsko pl. sankryžos iš centro.,54.65588092476443,25.302899857900744,0.10177840200985144
54.65644,25.22844,1812.5,13,725.0,55.76923076923077,Savanorių pr. link Savanorių - N. Riovonių g. sankryžos (į centrą),54.6564397613916,25.22843891379812,0.014341951692350299
54.6565,25.3031,633.5,11,905.0,82.27272727272727,Liepkalnio g. link Minsko pl.–Liepkalnio–Žirnių g. sankryžos (nuo centro),54.656504624419675,25.303101529018626,0.005012759391505609
54.65658,25.22797,375.0,2,150.0,75.0,Savanorių pr. link Savanorių pr.–Račių g. sankryžos (iš centro),54.65658108810448,25.227973328132244,0.0029673003501414414
54.65671,25.2289,7975.0,44,3190.0,72.5,Savanorių pr. link Savanorių - Riovonių g. sankryžos (iš centro),54.65671110344349,25.22889966830774,0.06310458744634131
54.6568,25.22902,675.0,5,270.0,54.0,Savanorių pr. link Savanorių - Riovonių g. sankryžos (į centrą),54.65680191412435,25.2290227784382,0.0053411406302545945
54.65693,25.22888,185.0,2,185.0,92.5,Savanorių pr. link Savanorių pr.–Račių g. sankryžos (iš centro),54.65693140073106,25.228880527096415,0.0014638681727364444
54.65699,25.22944,775.0,6,490.0,81.66666666666667,Savanorių pr. link Savanorių pr.–N. Riovonių g. sankryžos,54.656986843981855,25.229438792050097,0.006132420723625645
54.65705,25.22953,331.0,7,445.0,63.57142857142857,Savanorių pr. link Savanorių pr.–N. Riovonių g. sankryžos ( į centrą),54.657047701809894,25.229533562155762,0.002619137109058179
54.65724,25.22943,1375.0,8,550.0,68.75,Savanorių pr. link Savanorių pr.–Račių g. sankryžos (iš centro),54.6572372496505,25.22942713582729,0.010880101283851952
54.65778,25.3034,340.0,3,340.0,113.33333333333333,Liepkalnio g. link Minsko pl.–Žirnių–Liepkalnio g. sankryžos (nuo centro),54.657779091816344,25.303402235773056,0.0026903523174615735
