cluster,lat,lon,poi_count,cluster_area_km2,education,leisure,other,religion,retail,transport,work,seniunija,seniunija_nr,total_ev_score,ev_density,population,young_share,working_share,senior_share,district_area_km2,district_pop_density,jam_score_norm,poi_total,poi_density,dist_to_existing_m,lag_neighborhood_traffic,lag_neighborhood_retail,lag_neighborhood_leisure
129,54.65131250116279,25.274800987209304,86,0.3156773247528391,1,5,0,0,38,29,13,Naujininkai,19.0,23.781822700366394,75.33585986572356,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,86,272.4300836854027,342.09934785534557,0.0,49.09909175453794,11.244820860074888
88,54.739228703614465,25.27229545662651,83,0.3093017040711731,2,7,1,1,30,41,1,Verkiai,1.0,24.883540829842946,80.45070719725818,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,83,268.34640387529504,241.01455502375995,0.0,67.35425435584291,35.48182597145903
4,54.66992772686567,25.096170117910447,67,0.5279114624304867,5,5,0,2,27,24,2,Grigiškės,21.0,18.335687443480147,34.732504876979284,10486.0,0.235561323815704,0.5648465745805136,0.1995921016037823,7.009228254469938,1496.027753599385,0.0,65,126.91522114623965,2568.5856992411377,0.0,51.14493986490254,9.471285160167138
29,54.754363976923074,25.278729463076925,65,0.8590676894031474,1,6,0,1,5,38,2,Verkiai,1.0,11.027488695303088,12.836577177014576,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,53,75.66342070804679,143.42065692484096,0.0,5.820263131388214,6.984315757665857
30,54.76668431803279,25.19710688032787,61,1.509238221359795,1,1,0,0,13,38,8,Pašilaičiai,7.0,41.6909308334906,27.623823889066273,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,61,40.417741305968356,3228.687086442139,0.4425137670544916,8.613616999632601,0.6625859230486616
70,54.71046621016949,25.263313833898305,59,0.0821716136974844,0,10,0,0,41,7,1,Šeškinė,5.0,107.57960237481934,1309.2063978550393,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,59,718.0095089431867,93.57225629620822,0.709381702637204,294.64843871894254,74.43758566896793
17,54.75284332745098,25.26349087450981,51,0.1744313355869501,1,3,0,0,5,25,17,Verkiai,1.0,26.61172759298071,152.56276920333138,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,51,292.3786590774434,103.24120740565857,0.0,28.664574419357194,17.198744651614316
9,54.652202114000005,25.301411046,50,1.2436584489668232,0,3,1,0,5,39,2,Naujininkai,19.0,7.082178741061519,5.694633238687906,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,50,40.20396439355018,168.77822316478188,0.0,4.020396439355018,2.4122378636130106
146,54.724994026666664,25.32031428666667,45,0.1868013538188618,2,4,0,0,13,20,3,Antakalnis,13.0,20.445108743178356,109.44839705500016,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,42,240.89761171450482,122.51104174919486,0.0,55.32240362067924,24.56914555114673
73,54.69307970238095,25.21845031190476,42,0.1285010796482224,0,4,0,0,24,13,0,Karoliniškės,10.0,78.35722227324156,609.7787076011193,24448.0,0.2181765219924264,0.5360159793599933,0.2458074986475802,3.7638223321865,6495.524454204919,0.8197958688104301,41,326.84550289364824,209.59456969742212,0.8197958688104301,249.07262189640272,38.75891448252094
83,54.670663399999995,25.240970061538462,39,0.1813233921709644,4,4,1,1,13,12,4,Vilkpėdė,18.0,29.236317418436162,161.2385311591243,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,39,215.0853209453972,220.46747234888932,0.1493562033409003,66.63299034372065,6.618009875242991
96,54.677008907692304,25.21094871794872,39,0.1287689930076673,1,4,2,1,13,12,6,Lazdynai,11.0,39.73933900150433,308.60953458833154,23932.0,0.2434296365330848,0.5691829760795278,0.1873873873873874,9.95551425327569,2403.8939015255382,0.1743439950603415,39,302.8679427327495,51.77747700130867,0.17434399506034148,181.65575573890644,110.35504977987895
97,54.67871164102564,25.302784433333333,39,0.1070988954261666,1,12,0,0,13,10,3,Senamiestis,16.0,56.20348851610225,524.781215459394,10158.0,0.2599523155841341,0.6226789971822845,0.1173686872335813,4.406772086999922,2305.0885771847225,0.8726525869713228,39,364.14941391142906,372.88385194347006,0.8726525869713226,141.82731118250018,109.54253277285295
126,54.71793571578947,25.222119952631576,38,0.0769736550198667,1,6,1,0,18,8,3,Justiniškės,8.0,89.25475274582556,1159.5493642959939,23351.0,0.2363450932990859,0.5186220442698497,0.2450328624310644,2.90271033955168,8044.550529835689,0.2334564301239184,37,493.6754008912829,122.49290272164505,0.38372895671075535,223.90145359536015,75.12447035335856
131,54.63600619210526,25.26383054210526,38,0.3252595780122454,0,3,0,0,2,31,2,Naujininkai,19.0,12.5924270666296,38.71500769811464,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,38,116.82976480578651,1045.2046263133434,0.0,86.55405064086435,17.509592430683018
7,54.78055651351352,25.275948732432433,37,0.1927718296233599,0,5,0,0,22,6,4,Verkiai,1.0,19.388836418155414,100.57920006277668,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,37,191.93675793963817,205.00598166792383,0.0,114.12455877491999,25.937399721572728
104,54.69245935555555,25.303756641666663,36,0.1029118379692483,2,6,0,1,8,13,6,Senamiestis,16.0,55.17261144304637,536.115305408624,10158.0,0.2599523155841341,0.6226789971822845,0.1173686872335813,4.406772086999922,2305.0885771847225,0.8726525869713228,36,349.8139836036878,630.8580047248238,0.6423973770294067,123.1915997758711,40.76796066657336
99,54.708281725,25.22362462222222,36,0.1587728210677948,1,4,0,0,13,16,1,Viršuliškės,9.0,37.456812770199235,235.91451306521446,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,35,226.7390587248448,131.41863736876357,0.5787031961710468,75.32299524707469,15.402403268943832
33,54.64349344722222,25.203181788888887,36,0.3973825673735675,0,4,0,0,7,23,2,Vilkpėdė,18.0,20.283918960449103,51.043806713797785,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,36,90.59280138516363,198.57265400501637,0.1493562033409003,243.44646721441788,62.56023182957629
31,54.65542728571429,25.14283103142857,35,0.3612249534394535,0,4,0,0,16,11,4,Paneriai,20.0,8.715511088529203,24.127655095649555,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,35,96.89253100247545,798.0302197667626,0.0581114355229927,44.293728458274494,11.073432114568623
82,54.724216005882354,25.29685712941177,34,0.1524136342827712,2,1,0,0,9,20,2,Žirmūnai,2.0,76.6555456509124,502.94414939738454,43453.0,0.2329431132248033,0.57021675507591,0.1968401316992866,5.681409273017094,7648.278430911989,0.7461602624238627,34,223.07715553137595,55.276809134355204,0.7461602624238627,271.13836614200284,1.9683278429239053
91,54.7311298,25.246457684848487,33,0.0979482847046392,1,4,1,1,15,10,1,Fabijoniškės,4.0,68.20091646728237,696.2951589498546,37001.0,0.2531130529765155,0.541589295466958,0.2052976515565265,6.020352359924375,6145.985780882897,0.3385495510819686,33,336.91248498644705,47.780836326798095,0.3385495510819686,78.93888006338673,35.59205531173297
94,54.70270079666667,25.221755606666665,30,0.1845649751955141,2,2,1,0,11,12,2,Viršuliškės,9.0,32.84050073150263,177.9346308621877,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,30,162.54438291024763,101.18601235354089,0.6630073554975515,82.72166067825142,22.982297634282446
40,54.66224995,25.191785110714285,28,0.3272141497085684,2,0,0,0,1,24,1,Lazdynai,11.0,24.113259851178526,73.69259511746323,23932.0,0.2434296365330848,0.5691829760795278,0.1873873873873874,9.95551425327569,2403.8939015255382,0.1743439950603415,28,85.5708716292925,1252.6370508243374,0.1743439950603415,3.0561025581890178,0.0
6,54.625579921428574,25.109915753571432,28,0.2629372348482865,2,1,0,1,7,16,1,Paneriai,20.0,9.405625075776777,35.77136985259534,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,28,106.4892920782249,168.91610519740075,0.0581114355229927,26.622323019556227,3.8031890027937467
93,54.642065268,25.27926144,25,0.1109938113499534,0,4,1,0,5,11,4,Naujininkai,19.0,20.388170768597234,183.68745536915733,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,25,225.23778304339214,307.0940742016842,0.0,13.514266982603528,93.52402574671258
74,54.66119577600001,25.274855272,25,0.0880812993631985,4,2,1,0,10,7,0,Naujininkai,19.0,24.601509578641128,279.30457153224006,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,24,283.82869213717936,137.80433592570964,0.0,77.82496699397998,109.90845471383075
84,54.74430704583333,25.278428154166665,24,0.0731902695705498,4,3,0,0,4,13,0,Verkiai,1.0,29.167002250806533,398.50928848802477,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,24,327.91244165135697,435.3444947171753,0.0,84.2904953522208,28.138853658178242
128,54.72257729583333,25.215893579166664,24,0.1171103916176192,4,0,0,0,3,17,0,Justiniškės,8.0,68.49109149985108,584.8421353032742,23351.0,0.2363450932990859,0.5186220442698497,0.2450328624310644,2.90271033955168,8044.550529835689,0.2334564301239184,24,204.93484539239822,774.3136522800237,0.29173160965881,108.28056741317833,25.733207602855398
14,54.658354941666666,25.1593631875,24,0.3654815035493489,0,5,0,0,7,10,2,Paneriai,20.0,6.470033154652958,17.70276496025016,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,24,65.66679781856435,132.02898658173453,0.0581114355229927,19.152816030414602,13.680582878867572
85,54.6831779826087,25.213167352173915,23,0.0300697287305857,0,6,1,1,8,4,3,Lazdynai,11.0,72.96378657750337,2426.4863587973637,23932.0,0.2434296365330848,0.5691829760795278,0.1873873873873874,9.95551425327569,2403.8939015255382,0.1743439950603415,23,764.8888423993443,539.7213312097741,0.49602655479240343,164.94771203952598,106.27303938310374
106,54.73490004782609,25.245138091304348,23,0.0864652740935444,1,2,0,0,2,17,1,Fabijoniškės,4.0,63.10171632525599,729.7925899938509,37001.0,0.2531130529765155,0.541589295466958,0.2052976515565265,6.020352359924375,6145.985780882897,0.3385495510819686,23,266.0027420385776,102.39526450745424,0.3385495510819686,65.71306665977062,36.23351402909837
49,54.76323782173913,25.28462196086957,23,0.0854175030269274,1,0,0,0,1,21,0,Verkiai,1.0,24.949645305479486,292.09054843963594,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,23,269.26565615889496,1014.9386188308657,0.0,11.707202441691084,0.0
86,54.697364139130435,25.299684047826087,23,0.0479691995432194,0,4,1,1,8,8,0,Žirmūnai,2.0,95.09335791955476,1982.3836717116226,43453.0,0.2329431132248033,0.57021675507591,0.1968401316992866,5.681409273017094,7648.278430911989,0.7461602624238627,22,479.47433392707353,40.23916798140267,0.7836739920586352,188.24598148864175,144.42623214763856
151,54.72953152608696,25.27048352173913,23,0.0524978803720898,2,4,0,0,4,11,0,Verkiai,1.0,37.09164425567637,706.5360352224036,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,21,438.1129264073644,15.386266595373693,0.0,25.132284550646556,22.85806572560162
143,54.707096868181814,25.270063559090907,22,0.0984351035224566,2,2,0,0,6,9,2,Šnipiškės,3.0,57.437043523271036,583.501631713808,14652.0,0.2250902961714423,0.6276908259089815,0.1472188779195762,3.1264068279410937,4686.53019468011,0.690080065183502,21,223.4975045765153,271.1561770618233,0.7012885605591098,211.73225902009736,53.27736198960801
25,54.64360419090909,25.05371671363637,22,0.2564454861641408,1,1,0,0,7,10,3,Grigiškės,21.0,15.378197585781411,59.9667313931134,10486.0,0.235561323815704,0.5648465745805136,0.1995921016037823,7.009228254469938,1496.027753599385,0.0,22,85.78821303923694,3092.4922953029563,0.0,27.29624960339357,3.8994642290562243
103,54.70507933636363,25.22997981818182,22,0.0807394874020363,1,0,0,1,3,15,1,Viršuliškės,9.0,40.74618885096816,504.662466434491,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,21,272.4812939479369,274.2294175703994,0.6271437258142741,49.36974218738988,44.158326711880925
153,54.729681428571425,25.263728133333338,21,0.1163520434308109,5,0,0,0,1,14,1,Verkiai,1.0,18.56545200027814,159.5627498482065,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,21,180.4867313094309,434.2322497591582,0.0,30.96963202930673,21.16529797458196
145,54.718136314285715,25.214251985714284,21,0.0679357059856589,1,5,0,0,6,9,0,Justiniškės,8.0,75.98286214541343,1118.4525286519179,23351.0,0.2363450932990859,0.5186220442698497,0.2450328624310644,2.90271033955168,8044.550529835689,0.2334564301239184,21,309.11579846440486,580.9468165941905,0.2780912560682481,144.25886050800383,61.32706570111148
159,54.681333333333335,25.31172196190476,21,0.0335907918755948,0,3,1,0,7,9,0,Senamiestis,16.0,74.97387085436148,2231.976880212619,10158.0,0.2599523155841341,0.6226789971822845,0.1173686872335813,4.406772086999922,2305.0885771847225,0.8726525869713228,20,625.1713290289364,841.1560742114613,0.9045321640507596,296.05831204175684,98.8495033481521
142,54.673557200000005,25.22329156,20,0.0712679114411654,0,3,0,0,1,13,3,Lazdynai,11.0,38.14027007426547,535.1675010955223,23932.0,0.2434296365330848,0.5691829760795278,0.1873873873873874,9.95551425327569,2403.8939015255382,0.1743439950603415,20,280.63120688629726,68.31540150614414,0.1743439950603415,520.5140139144693,19.994078493664073
81,54.674152955,25.21281133,20,0.0616568657708308,2,2,0,0,9,6,0,Lazdynai,11.0,41.285999087441766,669.6091111879665,23932.0,0.2434296365330848,0.5691829760795278,0.1873873873873874,9.95551425327569,2403.8939015255382,0.1743439950603415,19,324.3758785004895,388.7284882353334,0.1743439950603415,270.8917692826911,63.976913760255286
3,54.67534213,25.08078006,20,0.0764981692549072,1,1,0,0,8,7,3,Grigiškės,21.0,28.00981658421161,366.1501557099661,10486.0,0.235561323815704,0.5648465745805136,0.1995921016037823,7.009228254469938,1496.027753599385,0.0,20,261.44416519767947,3417.2355225622173,0.0,104.57766607907178,13.072208259883972
76,54.71634034210526,25.229218089473683,19,0.0286544323844149,0,1,0,0,7,7,1,Viršuliškės,9.0,68.83413107423826,2402.2158300255505,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,16,663.0736824622661,112.69585094203997,0.5922266796188325,225.43353589681698,49.47617273085703
41,54.60506162631579,25.25977925263158,19,0.14411987513337,2,3,0,0,9,3,2,Naujininkai,19.0,13.671448745771897,94.86164717475782,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,19,131.83469651508653,56.56409264276562,0.0,62.448014138725206,20.816004712908402
20,54.60663612105264,25.386721868421052,19,0.3034859779806676,1,1,0,1,5,9,1,Rasos,15.0,27.338671974883987,90.08215851285719,12361.0,0.259793501366535,0.5954296993622836,0.1447767992711812,16.19235341738865,763.3850176914843,1.0,18,62.60585786012928,6806.475260233049,1.0,16.475225752665597,3.2950451505331197
114,54.66733123157895,25.215271110526317,19,0.0321656042747345,1,4,0,0,9,5,0,Lazdynai,11.0,60.43717179786755,1878.9378642371676,23932.0,0.2434296365330848,0.5691829760795278,0.1873873873873874,9.95551425327569,2403.8939015255382,0.1743439950603415,19,590.6930843803285,390.29821765026753,0.1743439950603415,799.0842245366897,37.30693164507338
119,54.690937705555555,25.256256838888888,18,0.0470540923878542,2,5,0,2,6,0,1,Žvėrynas,6.0,71.70818345647145,1523.952111654821,12089.0,0.3000692520775623,0.5484764542936288,0.1514542936288088,2.6207114544034837,4612.869524299329,0.8713488905968868,16,382.53845917653354,494.51028595680856,0.8713488905968867,38.25384591765335,125.90964266917449
37,54.64447637777778,25.33328138888889,18,0.2523989897738383,0,1,1,0,3,10,3,Rasos,15.0,27.96500358422035,110.79681265475091,12361.0,0.259793501366535,0.5954296993622836,0.1447767992711812,16.19235341738865,763.3850176914843,1.0,18,71.3156578642762,2077.842935806013,1.0,11.885942977379367,3.961980992459789
123,54.64038535555555,25.267749344444447,18,0.0545370813297266,0,3,0,0,0,11,4,Naujininkai,19.0,27.925384190579745,512.0439801636106,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,18,330.05066573279777,533.9199306878742,0.0,11.344103886982884,55.79841820533271
95,54.69740062222222,25.222130255555555,18,0.0219616321048527,0,1,0,0,10,4,2,Karoliniškės,10.0,113.79256431518898,5181.425668725462,24448.0,0.2181765219924264,0.5360159793599933,0.2458074986475802,3.7638223321865,6495.524454204919,0.8197958688104301,17,819.6112162366417,654.6196340855689,0.7820832909565322,263.3937244348911,24.780539194978353
51,54.63722887222222,25.355673272222223,18,0.0819923101057658,2,1,0,2,7,5,1,Rasos,15.0,38.62346535192024,471.0620459662374,12361.0,0.259793501366535,0.5954296993622836,0.1447767992711812,16.19235341738865,763.3850176914843,1.0,18,219.53278273024554,2911.7699057840723,1.0,85.37385995065105,12.196265707235865
107,54.65216983529412,25.224561558823527,17,0.0679739286275615,0,2,0,0,9,5,1,Vilkpėdė,18.0,31.753967010762405,467.14920929091437,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,17,250.0958873974364,1279.538276924079,0.1493562033409003,332.1729989445824,81.93988552703925
78,54.72312597647059,25.254832588235296,17,0.0435346795530704,1,2,0,0,4,9,1,Fabijoniškės,4.0,72.05397259405699,1655.093670925509,37001.0,0.2531130529765155,0.541589295466958,0.2052976515565265,6.020352359924375,6145.985780882897,0.3385495510819686,17,390.49328430857895,115.96269734004949,0.4401851461439665,254.13376458517018,186.92118142002028
102,54.7295351,25.228659088235293,17,0.0568000829617811,2,2,0,0,5,8,0,Pašilaičiai,7.0,60.307112762733496,1061.74339222906,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,17,299.29533749869233,400.01416390264427,0.4425137670544915,223.61289974147712,10.563364852895024
166,54.70334338235294,25.20647717647059,17,0.0549898326640414,0,3,0,0,8,5,0,Pilaitė,12.0,32.22596168512156,586.0349108898918,21798.0,0.3030134418836208,0.593024277388936,0.1039622807274431,13.933524246549881,1564.4283251164875,0.0201049035317864,16,309.14805840310424,493.34803875857216,0.47941125639789617,110.79505213551468,83.51728227641726
87,54.733883176470584,25.253137188235293,17,0.0656769418836586,0,3,0,0,5,8,1,Fabijoniškės,4.0,62.58683289435047,952.9498648889286,37001.0,0.2531130529765155,0.541589295466958,0.2052976515565265,6.020352359924375,6145.985780882897,0.3385495510819686,17,258.8427462124246,374.50096622341425,0.2763119975159336,58.31001092445044,44.784064280940534
172,54.74056431875,25.23929055625,16,0.0593106639018724,0,0,0,0,0,16,0,Fabijoniškės,4.0,63.37233580216813,1068.4813089770103,37001.0,0.2531130529765155,0.541589295466958,0.2052976515565265,6.020352359924375,6145.985780882897,0.3385495510819686,16,269.7659905893397,627.7390222005424,0.3586460471446173,65.26308849388388,7.115434001522741
163,54.71018725625,25.247409275,16,0.0667655109886696,2,0,0,0,2,11,1,Šeškinė,5.0,73.17984480541148,1096.0725638395909,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,16,239.64468725050676,560.2952587536249,0.7189901509724219,77.62691600333427,33.8507413873581
150,54.7348938875,25.338563675,16,0.0195480620679503,2,3,0,0,4,6,0,Antakalnis,13.0,61.98082574587955,3170.689019219925,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,15,818.4954572163209,53.0454625119646,0.0,204.62386430408023,153.46789822806016
165,54.73686204375,25.2116038875,16,0.0286319655060041,0,2,0,0,7,7,0,Pašilaičiai,7.0,78.96953722495263,2758.0899819257183,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,16,558.815984765168,620.9299914623755,0.4425137670544915,456.80656585276245,110.74221602722028
101,54.70204658666667,25.211001473333333,15,0.0172316811089807,0,3,0,0,3,5,4,Viršuliškės,9.0,83.74964860613096,4860.213468231073,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,15,870.4896466649672,188.29722243790013,0.5859368166774844,84.61603220160384,68.84972042240679
11,54.64707163333333,25.139837833333335,15,0.2784879847448238,0,2,0,0,2,4,7,Paneriai,20.0,5.6211574381063185,20.184560002676374,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,15,53.86228786044172,1570.7859541887642,0.0581114355229927,7.181638381392229,7.181638381392229
135,54.664889233333334,25.249700586666663,15,0.0704783186434293,0,1,0,0,4,8,2,Vilkpėdė,18.0,29.074236192848506,412.5273807955562,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,15,212.8314109746211,847.2198223074672,0.1493562033409003,58.79137754464657,18.178249775051384
154,54.718322435714285,25.237286942857143,14,0.0451940904243328,1,0,0,0,3,10,0,Šeškinė,5.0,78.22299625317295,1730.8235549986236,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,14,309.77501413464245,3.8040494194666605,0.6717251521334959,92.81623676247439,10.562425796322154
125,54.654206692857144,25.269001685714283,14,0.0535886264668219,0,1,0,0,2,8,3,Naujininkai,19.0,22.9778117210696,428.78150152431607,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,14,261.24946510184884,164.16652883960774,0.0,95.4596640894513,16.68547367127278
170,54.663852764285714,25.241747028571428,14,0.0502814989767113,0,1,0,0,3,8,1,Vilkpėdė,18.0,33.7916800488125,672.0499733801427,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,13,278.43243111117926,510.07300050146335,0.1493562033409003,144.9938956495842,9.806140430850817
5,54.728917569230774,25.37470272307693,13,0.1935596898047133,3,1,0,0,1,6,2,Antakalnis,13.0,7.95163714771922,41.081059572588714,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,13,67.16274454208927,2124.9393480924273,0.0,5.166364964776098,5.166364964776098
12,54.6662273,25.1616369,13,0.0687762509424794,0,1,0,0,4,6,2,Paneriai,20.0,15.34041108954531,223.04808533944617,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,13,189.01873570969246,869.0896952150382,0.0581114355229927,58.15961098759768,14.53990274689942
89,54.68915264615384,25.252325092307693,13,0.0228645215476051,3,4,0,0,0,1,5,Žvėrynas,6.0,85.08566801436561,3721.2966751660606,12089.0,0.3000692520775623,0.5484764542936288,0.1514542936288088,2.6207114544034837,4612.869524299329,0.8713488905968868,13,568.5664566797664,524.7801648250036,0.8713488905968867,52.70425610159093,112.47560982507979
