cluster,lat,lon,poi_count,cluster_area_km2,education,leisure,other,religion,retail,transport,work,seniunija,seniunija_nr,total_ev_score,ev_density,population,young_share,working_share,senior_share,district_area_km2,district_pop_density,jam_score_norm,poi_total,poi_density,dist_to_existing_m,lag_neighborhood_traffic,lag_neighborhood_retail,lag_neighborhood_leisure,predicted_ev_density,demand_score,svm_label,svm_probability,svm_prediction,pop_density_norm,composite,priority
90,54.702496725,25.30376055,8,0.005,0,3,0,0,2,3,0,Žirmūnai,2.0,175.6716310601564,35134.32621203128,43453.0,0.2329431132248033,0.57021675507591,0.1968401316992866,5.681409273017094,7648.278430911989,0.7461602624238627,8,1600.0,489.28148249028544,0.7461602624238627,236.74157695615705,238.3707884780785,30415.29944103177,0.8634543459004359,0,0.190845231454523,0,0.9500402746739957,0.49726085196399183,1
105,54.69119991428572,25.29829895714286,7,0.005,1,0,0,0,2,1,3,Senamiestis,16.0,130.69268049616787,26138.536099233577,10158.0,0.2599523155841341,0.6226789971822845,0.1173686872335813,4.406772086999922,2305.0885771847225,0.8726525869713228,7,1400.0,646.1346901602938,0.7268555197898308,164.63084054174436,32.94657584190493,26283.56833993901,0.7461593910292136,0,0.1995312588091546,0,0.2764013831616457,0.506478845725637,2
127,54.69462623333334,25.225920433333332,6,0.005,1,0,0,0,3,1,0,Karoliniškės,10.0,141.14675373338147,28229.350746676293,24448.0,0.2181765219924264,0.5360159793599933,0.2458074986475802,3.7638223321865,6495.524454204919,0.8197958688104301,5,1200.0,715.8187731129119,0.8197958688104301,415.691804867065,27.419286705049068,24216.14508128373,0.687467692104385,0,0.2001841797561049,0,0.8047076302586543,0.48320259408642413,3
183,54.72635726666667,25.22603365,6,0.005,0,0,0,0,2,3,0,Pašilaičiai,7.0,125.0778079029912,25015.56158059824,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,5,1200.0,492.7919709027466,0.4172762903103116,212.91408948848056,10.38968917490712,23229.438799386706,0.6594562688112154,0,0.3610734262467011,1,0.6157500913131639,0.47231974885784334,4
115,54.69700153333333,25.23958805,6,0.005,0,0,0,0,0,4,2,Žvėrynas,6.0,130.49277118417763,26098.554236835524,12089.0,0.3000692520775623,0.5484764542936288,0.1514542936288088,2.6207114544034837,4612.869524299329,0.8713488905968868,6,1200.0,504.2416848540152,0.8713488905968867,169.22428053883368,100.13865871494026,23026.975934086524,0.6537085877382137,0,0.2454034462889533,0,0.5673532380696553,0.5189820176189506,5
191,54.70569664,25.24206174,5,0.005,0,0,0,0,0,5,0,Šeškinė,5.0,127.8578588212446,25571.57176424892,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,5,1000.0,744.9555117972601,0.7103741574659594,57.183183853056626,72.99864358128808,21766.658572484048,0.617929669789395,0,0.2707069665223408,0,0.8645466998997255,0.4936136270325951,6
24,54.64078078571429,25.13547218571429,7,0.005,0,1,0,0,0,6,0,Paneriai,20.0,102.42344902130188,20484.689804260375,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,7,1400.0,2290.6474186408077,0.0581114355229927,0.0,200.0,21413.550974425052,0.607905363084619,0,0.190922677500385,0,0.0,0.18893758722474152,7
77,54.724232140000005,25.24968044,5,0.005,0,2,0,0,2,0,1,Fabijoniškės,4.0,115.8842926884991,23176.85853769982,37001.0,0.2531130529765155,0.541589295466958,0.2052976515565265,6.020352359924375,6145.985780882897,0.3385495510819686,5,1000.0,323.2409476593728,0.3644743299996092,176.13452728761982,146.0355936560372,20629.425750323226,0.5856449762094698,-1,0.3819032367132068,1,0.7606397885979109,0.42306133403315194,8
198,54.71324812,25.21225898,5,0.0052205692355496,2,0,0,0,0,3,0,Justiniškės,8.0,122.62688162784804,23489.17830508159,23351.0,0.2363450932990859,0.5186220442698497,0.2450328624310644,2.90271033955168,8044.550529835689,0.2334564301239184,5,957.7499644966628,374.77186790545073,0.2334564301239183,29.645044560845975,44.04626486865272,20021.109343665892,0.5683755935414098,-1,0.2936269954535869,0,0.9999999999998739,0.339009925850844,9
44,54.67770264000001,25.384596,5,0.005,0,0,1,0,2,1,0,Naujoji Vilnia,14.0,77.72387093352778,15544.774186705556,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604116,0.0,4,1000.0,2312.1545325343072,0.0,400.0,0.0,15147.317972105067,0.4300144260327632,0,0.2284544302111745,0,0.10483940052916198,0.0,10
