object_id,seniunija,nr,area_m2,perimeter_m,centroid_lat,centroid_lon,population,young_share,working_share,senior_share,pop_under_25,pop_25_64,pop_65_plus,pop_v,pop_m
422,Naujininkai,19,44252349.05489813,32694.55384674517,54.61394962784193,25.25301290822362,30129.0,0.20884057569118994,0.6341199633953578,0.1570394609134522,6292.157704999861,19105.400377138736,4731.441917861401,14473.760837265318,15928.000968518434
423,Paneriai,20,78131991.09836523,69159.13175952046,54.61214892719927,25.1366918114256,8807.0,0.26507140100347354,0.6221536086453107,0.11277499035121574,2334.4838286375916,5479.306831339251,993.2093400231571,4230.821192000918,4655.909739113208
424,Lazdynai,11,9955514.253275689,13670.138455336515,54.673549091209374,25.20202616231629,23932.0,0.2434296365330848,0.5691829760795278,0.1873873873873874,5825.758061509786,13621.68698353526,4484.554954954955,11496.765387415235,12651.894161060212
425,Grigiškės,21,7009228.254469938,19513.79342328106,54.67211489222637,25.094162395391496,10486.0,0.23556132381570408,0.5648465745805136,0.19959210160378232,2470.096041531473,5922.981181051266,2092.9227774172614,5037.401046817489,5543.530092465209
426,Vilkpėdė,18,10747060.251439992,22293.18851087172,54.65851228595132,25.220911502545285,19310.0,0.20167509320259436,0.6008886165160104,0.19743629028139523,3894.346049742097,11603.159184924161,3812.4947653337417,9276.38891989755,10208.427053738622
427,Senamiestis,16,4406772.086999922,9918.816487090962,54.68314456357192,25.2945429746925,10158.0,0.2599523155841341,0.6226789971822845,0.11736868723358139,2640.5956217036346,6325.173253377646,1192.2311249187198,4879.832141290488,5370.129570785962
428,Naujamiestis,17,4898427.88506261,12473.603047310591,54.679854561391174,25.26759662117192,20857.0,0.255724122487824,0.6081565246599115,0.13611935285226445,5333.638022728545,12684.320634831774,2839.0413424396797,10019.556898099598,11026.264270317268
429,Rasos,15,16192353.417388648,29813.43696290191,54.64978639275123,25.32092164768263,12361.0,0.25979350136653506,0.5954296993622836,0.14477679927118128,3211.30747039174,7360.106513817188,1789.5860157910718,5938.137930546537,6534.767830723103
430,Karoliniškės,10,3763822.3321865,9799.12086639168,54.69003632832248,25.21961209267159,24448.0,0.21817652199242646,0.5360159793599933,0.2458074986475802,5333.979609670842,13104.518663393117,6009.5017269360405,11744.648177817468,12924.682786628784
431,Žvėrynas,6,2620711.454403484,7474.918628620548,54.69793781127227,25.250098853347684,12089.0,0.30006925207756235,0.5484764542936288,0.15145429362880886,3627.537188365651,6630.531855955678,1830.9309556786702,5807.471033280243,6390.972276159825
432,Šnipiškės,3,3126406.8279410936,8180.818400464992,54.70524964029977,25.27911373796983,14652.0,0.22509029617144233,0.6276908259089815,0.14721887791957622,3298.023019503973,9196.925981218397,2157.0509992776306,7038.718304212269,7745.928181842481
433,Viršuliškės,9,2527282.7250660392,6976.773028201952,54.70944086421192,25.22471663391078,4014.037054284857,0.22672006865970534,0.542411672149907,0.23086825919038764,910.0627565500641,2177.2605506863365,926.7137470484564,1928.3153213063827,2122.0613391854386
434,Naujoji Vilnia,14,38655582.84421724,37623.36296353608,54.68479017440163,25.408945782624144,36502.0,0.2709707064905227,0.5830672027570362,0.14596209075244113,9890.97272831706,21283.119035037333,5327.908236645606,17535.30545593477,19297.15195834113
435,Šeškinė,5,4462165.80764561,10574.96249992786,54.70987831235237,25.25183658454344,31102.0,0.20776240521484635,0.5527471065584675,0.23949048822668617,6461.826326992151,17191.540508181457,7448.633164826393,14941.183230795114,16442.387272158398
436,Justiniškės,8,2902710.33955168,8500.988336023096,54.71764603225565,25.208089738713007,23351.0,0.2363450932990859,0.5186220442698497,0.24503286243106445,5518.894273626955,12110.34335574526,5721.762370627786,11217.657051710394,12344.742627232034
437,Pilaitė,12,13933524.246549882,23844.008952549015,54.7077744229274,25.15411835206004,21798.0,0.30301344188362084,0.593024277388936,0.10396228072744311,6605.087006179167,12926.743198524027,2266.1697952968048,10471.606715480415,11523.733449890962
438,Žirmūnai,2,5681409.273017094,11693.348874653271,54.711912984724805,25.291937729867705,43453.0,0.23294311322480338,0.57021675507591,0.19684013169928663,10122.077098957381,24777.628658313515,8553.294242729102,20874.517231295093,22971.86850161079
439,Fabijoniškės,4,6020352.359924375,15419.74964682254,54.74481798879129,25.236918942051275,37001.0,0.25311305297651554,0.541589295466958,0.2052976515565265,9365.436073184052,20039.345521572912,7596.218405243037,17775.02156525786,19560.953361749496
440,Pašilaičiai,7,8082061.121193773,18361.834540299835,54.74260732010815,25.196958464907276,40384.0,0.3069339905415307,0.557894269410955,0.13517174004751437,12395.222274029176,22530.002175892005,5458.77555007882,19400.19110000739,21349.41057163027
441,Antakalnis,13,77151869.77248901,53393.50598986119,54.75333480060417,25.38948191275859,39128.0,0.28475113122171947,0.549185520361991,0.16606334841628959,11141.742262443438,21488.53104072398,6497.726696832578,18796.817486160093,20685.41345202925
442,Verkiai,1,55925614.94759497,51234.886919244265,54.78506472512785,25.29473910896442,50754.0,0.27724805877932707,0.5928195708441178,0.12993237037655506,14071.447975285966,30087.964498622357,6594.5875260916755,24381.866558284844,26831.616089355262
